"id","weight","height"
1000,48,75
1001,67,166
1002,80,128
1003,65,149
1004,68,115
1005,73,144
1006,44,202
1007,53,179
1008,86,218
1009,56,232
1010,77,177
1011,77,184
1012,70,185
1013,60,129
1014,69,135
1015,75,129
1016,75,154
1017,63,176
1018,71,157
1019,66,233
1020,67,214
1021,45,161
1022,44,155
1023,61,142
1024,67,157
1025,48,170
1026,91,233
1027,65,134
1028,50,203
1029,65,195
1030,58,160
1031,64,212
1032,106,131
1033,72,197
1034,62,193
1035,51,143
1036,80,152
1037,65,167
1038,55,175
1039,61,221
1040,88,165
1041,93,181
1042,47,163
1043,64,194
1044,78,192
1045,87,192
1046,53,209
1047,80,173
1048,74,186
1049,72,148
1050,72,184
1051,77,122
1052,88,211
1053,63,130
1054,58,125
1055,68,150
1056,85,157
1057,62,143
1058,58,169
1059,47,131
1060,101,154
1061,85,169
1062,70,219
1063,73,156
1064,72,171
1065,69,165
1066,78,168
1067,76,201
1068,63,137
1069,87,160
1070,72,170
1071,66,176
1072,55,136
1073,32,203
1074,77,193
1075,94,187
1076,61,196
1077,88,213
1078,55,154
1079,92,176
1080,71,197
1081,72,173
1082,65,218
1083,82,75
1084,83,211
1085,50,133
1086,83,115
1087,73,218
1088,65,182
1089,63,154
1090,84,192
1091,96,212
1092,53,178
1093,52,122
1094,58,161
1095,106,199
1096,75,192
1097,82,178
1098,75,186
1099,53,196
1100,64,203
1101,81,169
1102,57,166
1103,50,210
1104,78,134
1105,70,168
1106,59,190
1107,78,141
1108,67,176
1109,70,234
1110,73,166
1111,54,197
1112,81,191
1113,74,183
1114,62,228
1115,50,172
1116,72,125
1117,65,168
1118,76,143
1119,104,187
1120,53,147
1121,41,167
1122,81,185
1123,57,171
1124,58,116
1125,65,116
1126,64,201
1127,68,113
1128,41,157
1129,86,185
1130,54,211
1131,53,148
1132,61,176
1133,80,215
1134,67,201
1135,55,172
1136,40,130
1137,88,168
1138,69,117
1139,77,224
1140,65,131
1141,30,126
1142,75,142
1143,58,132
1144,58,139
1145,78,127
1146,76,104
1147,57,182
1148,61,177
1149,69,154
1150,66,188
1151,44,128
1152,79,174
1153,56,201
1154,46,190
1155,41,183
1156,62,105
1157,76,214
1158,55,142
1159,68,162
1160,70,169
1161,65,237
1162,60,159
1163,65,141
1164,82,185
1165,79,150
1166,79,221
1167,55,154
1168,88,183
1169,43,194
1170,73,178
1171,56,195
1172,77,217
1173,40,194
1174,64,168
1175,54,160
1176,71,190
1177,62,196
1178,111,190
1179,85,213
1180,63,165
1181,82,195
1182,74,167
1183,57,218
1184,82,208
1185,29,142
1186,67,159
1187,65,176
1188,79,210
1189,62,211
1190,69,191
1191,100,157
1192,79,171
1193,73,196
1194,62,129
1195,80,201
1196,61,176
1197,59,230
1198,67,146
1199,108,208
1200,47,194
1201,85,161
1202,68,167
1203,73,162
1204,72,189
1205,95,147
1206,69,199
1207,64,145
1208,43,187
1209,52,153
1210,65,183
1211,83,150
1212,79,108
1213,67,227
1214,61,186
1215,94,136
1216,83,214
1217,79,84
1218,74,222
1219,90,210
1220,55,223
1221,70,179
1222,85,150
1223,79,184
1224,70,218
1225,57,243
1226,77,177
1227,71,198
1228,60,186
1229,70,183
1230,58,178
1231,62,153
1232,73,169
1233,39,156
1234,69,221
1235,89,173
1236,78,195
1237,66,155
1238,80,183
1239,58,201
1240,61,149
1241,99,99
1242,61,186
1243,54,194
1244,80,155
1245,76,152
1246,70,184
1247,64,160
1248,70,215
1249,76,152
1250,85,159
1251,74,189
1252,55,180
1253,53,192
1254,98,134
1255,74,184
1256,59,181
1257,59,197
1258,60,202
1259,88,176
1260,73,142
1261,55,176
1262,61,189
1263,61,185
1264,83,197
1265,43,158
1266,60,211
1267,93,145
1268,52,154
1269,69,186
1270,61,193
1271,54,189
1272,69,140
1273,64,154
1274,70,207
1275,93,164
1276,69,242
1277,79,245
1278,65,101
1279,77,179
1280,91,145
1281,56,194
1282,71,168
1283,70,203
1284,105,132
1285,94,225
1286,116,156
1287,83,141
1288,58,149
1289,75,158
1290,93,202
1291,65,179
1292,62,164
1293,66,250
1294,62,184
1295,68,187
1296,85,161
1297,80,201
1298,57,189
1299,75,158
