"id","weight","height","gender"
1000,77,177,"Male"
1001,72,149,"Female"
1002,66,150,"Male"
1003,66,179,"Male"
1004,53,158,"Female"
1005,51,198,"Male"
1006,71,200,"Female"
1007,56,179,"Female"
1008,59,180,"Female"
1009,59,192,"Male"
1010,69,225,"Female"
1011,67,200,"Male"
1012,89,259,"Male"
1013,75,194,"Male"
1014,55,152,"Male"
1015,64,141,"Female"
1016,62,209,"Female"
1017,75,182,"Male"
1018,70,102,"Female"
1019,80,209,"Female"
1020,75,200,"Male"
1021,57,106,"Male"
1022,75,128,"Female"
1023,43,157,"Female"
1024,13,171,"Male"
1025,46,182,"Female"
1026,64,184,"Female"
1027,63,166,"Male"
1028,71,203,"Female"
1029,60,168,"Female"
1030,68,207,"Male"
1031,68,142,"Female"
1032,79,163,"Male"
1033,74,210,"Female"
1034,95,232,"Male"
1035,78,148,"Female"
1036,59,145,"Female"
1037,72,216,"Female"
1038,74,154,"Male"
1039,71,221,"Male"
1040,64,169,"Male"
1041,64,161,"Female"
1042,58,176,"Female"
1043,52,187,"Female"
1044,63,164,"Male"
1045,72,200,"Female"
1046,81,156,"Male"
1047,64,194,"Male"
1048,39,206,"Female"
1049,80,223,"Female"
1050,35,112,"Female"
1051,86,168,"Female"
1052,79,183,"Male"
1053,75,181,"Female"
1054,76,184,"Male"
1055,46,195,"Male"
1056,75,158,"Male"
1057,53,158,"Male"
1058,89,178,"Female"
1059,58,186,"Female"
1060,75,128,"Male"
1061,83,132,"Female"
1062,82,236,"Male"
1063,92,218,"Female"
1064,79,177,"Female"
1065,90,214,"Female"
1066,47,211,"Female"
1067,112,164,"Female"
1068,52,163,"Male"
1069,76,174,"Male"
1070,90,139,"Male"
1071,73,203,"Female"
1072,74,217,"Male"
1073,54,187,"Female"
1074,62,83,"Female"
1075,51,172,"Female"
1076,71,148,"Male"
1077,50,184,"Female"
1078,83,219,"Female"
1079,72,175,"Female"
1080,82,228,"Female"
1081,67,196,"Male"
1082,67,142,"Female"
1083,68,185,"Male"
1084,71,164,"Female"
1085,54,173,"Male"
1086,71,195,"Male"
1087,104,221,"Male"
1088,105,192,"Female"
1089,71,174,"Male"
1090,69,96,"Male"
1091,64,124,"Male"
1092,59,202,"Male"
1093,64,221,"Female"
1094,91,119,"Female"
1095,84,155,"Female"
1096,64,164,"Female"
1097,88,174,"Female"
1098,60,256,"Male"
1099,58,185,"Female"
1100,81,188,"Male"
1101,70,140,"Male"
1102,96,210,"Male"
1103,65,191,"Female"
1104,85,196,"Male"
1105,56,203,"Female"
1106,74,129,"Male"
1107,77,166,"Male"
1108,77,197,"Male"
1109,54,186,"Female"
1110,80,150,"Female"
1111,62,99,"Female"
1112,75,159,"Male"
1113,64,170,"Male"
1114,69,182,"Female"
1115,69,147,"Female"
1116,79,172,"Male"
1117,64,154,"Female"
1118,59,215,"Male"
1119,71,91,"Female"
1120,69,199,"Male"
1121,52,222,"Male"
1122,83,189,"Female"
1123,68,134,"Female"
1124,62,106,"Female"
1125,67,197,"Male"
1126,82,158,"Male"
1127,44,173,"Female"
1128,41,180,"Female"
1129,64,236,"Female"
1130,75,165,"Male"
1131,63,164,"Female"
1132,55,132,"Male"
1133,49,215,"Female"
1134,84,147,"Female"
1135,71,148,"Female"
1136,79,156,"Male"
1137,65,142,"Female"
1138,53,192,"Male"
1139,47,121,"Female"
1140,82,128,"Female"
1141,55,139,"Female"
1142,82,146,"Female"
1143,93,144,"Female"
1144,58,213,"Female"
1145,92,212,"Female"
1146,55,162,"Female"
1147,76,184,"Female"
1148,71,224,"Female"
1149,57,229,"Female"
1150,82,142,"Female"
1151,64,136,"Female"
1152,97,180,"Male"
1153,65,202,"Male"
1154,66,220,"Female"
1155,62,189,"Male"
1156,62,167,"Male"
1157,58,151,"Male"
1158,68,147,"Male"
1159,67,208,"Female"
1160,100,161,"Female"
1161,55,193,"Male"
1162,88,179,"Female"
1163,95,129,"Male"
1164,100,207,"Female"
1165,55,162,"Female"
1166,75,178,"Female"
1167,51,136,"Male"
1168,66,178,"Male"
1169,64,213,"Male"
1170,99,156,"Female"
1171,70,142,"Male"
1172,72,160,"Male"
1173,82,177,"Female"
1174,85,200,"Male"
1175,63,209,"Female"
1176,45,154,"Female"
1177,71,134,"Female"
1178,68,146,"Female"
1179,82,180,"Male"
1180,68,122,"Female"
1181,70,131,"Male"
1182,85,153,"Female"
1183,93,241,"Male"
1184,73,130,"Female"
1185,70,155,"Female"
1186,89,152,"Male"
1187,62,142,"Male"
1188,68,171,"Male"
1189,64,185,"Male"
1190,73,144,"Female"
1191,76,164,"Male"
1192,83,182,"Female"
1193,60,219,"Male"
1194,114,164,"Male"
1195,60,177,"Female"
1196,82,133,"Male"
1197,78,168,"Female"
1198,42,135,"Female"
1199,110,175,"Male"
1200,78,186,"Male"
1201,44,164,"Male"
1202,78,136,"Male"
1203,69,147,"Male"
1204,56,136,"Female"
1205,76,163,"Female"
1206,78,192,"Male"
1207,63,170,"Male"
1208,103,186,"Male"
1209,60,205,"Male"
1210,78,175,"Male"
1211,92,207,"Male"
1212,62,195,"Male"
1213,57,184,"Female"
1214,52,211,"Female"
1215,67,177,"Female"
1216,103,203,"Female"
1217,86,197,"Male"
1218,55,144,"Female"
1219,76,189,"Female"
1220,54,142,"Male"
1221,84,205,"Female"
1222,79,191,"Male"
1223,90,156,"Male"
1224,86,142,"Male"
1225,82,160,"Female"
1226,85,106,"Male"
1227,82,182,"Female"
1228,65,211,"Female"
1229,76,130,"Male"
1230,72,222,"Male"
1231,68,183,"Female"
1232,60,148,"Female"
1233,84,129,"Male"
1234,90,209,"Male"
1235,94,127,"Male"
1236,61,169,"Female"
1237,84,205,"Male"
1238,82,178,"Female"
1239,76,182,"Female"
1240,97,206,"Female"
1241,58,167,"Female"
1242,66,145,"Male"
1243,98,135,"Female"
1244,68,97,"Male"
1245,74,164,"Male"
1246,61,127,"Female"
1247,56,200,"Female"
1248,69,202,"Male"
1249,85,134,"Male"
1250,70,181,"Female"
1251,76,207,"Male"
1252,48,163,"Female"
1253,55,167,"Male"
1254,100,111,"Female"
1255,34,211,"Male"
1256,79,232,"Female"
1257,76,251,"Female"
1258,81,156,"Male"
1259,65,162,"Male"
1260,62,160,"Female"
1261,43,234,"Female"
1262,61,156,"Male"
1263,47,174,"Male"
1264,83,211,"Male"
1265,93,135,"Male"
1266,60,180,"Male"
1267,69,198,"Male"
1268,108,205,"Female"
1269,62,167,"Male"
1270,71,248,"Female"
1271,88,186,"Female"
1272,77,213,"Male"
1273,69,135,"Male"
1274,73,162,"Male"
1275,71,144,"Male"
1276,80,188,"Male"
1277,57,138,"Female"
1278,69,192,"Female"
1279,61,153,"Male"
1280,74,204,"Female"
1281,63,188,"Male"
1282,71,112,"Male"
1283,62,160,"Male"
1284,83,171,"Male"
1285,70,99,"Female"
1286,57,156,"Male"
1287,81,159,"Male"
1288,46,133,"Male"
1289,84,185,"Female"
1290,66,110,"Male"
1291,69,194,"Female"
1292,70,149,"Male"
1293,43,170,"Male"
1294,80,146,"Male"
1295,61,176,"Female"
1296,50,191,"Male"
1297,53,214,"Female"
1298,69,139,"Male"
1299,96,184,"Male"
1300,78,115,"Female"
1301,89,210,"Female"
1302,84,162,"Female"
1303,72,205,"Female"
1304,62,121,"Male"
1305,70,208,"Male"
1306,69,187,"Male"
1307,98,151,"Male"
1308,60,161,"Female"
1309,85,182,"Female"
1310,102,146,"Female"
1311,68,144,"Female"
1312,63,167,"Male"
1313,78,186,"Female"
1314,45,137,"Male"
1315,59,225,"Female"
1316,81,253,"Female"
1317,91,208,"Male"
1318,71,127,"Female"
1319,77,100,"Female"
1320,72,167,"Female"
1321,87,152,"Female"
1322,56,173,"Female"
1323,66,138,"Male"
1324,41,153,"Female"
1325,78,147,"Female"
1326,58,147,"Female"
1327,67,192,"Female"
1328,46,219,"Male"
1329,82,161,"Female"
1330,62,147,"Male"
1331,62,125,"Female"
1332,52,155,"Male"
1333,42,186,"Female"
1334,31,136,"Male"
1335,63,225,"Female"
1336,86,206,"Male"
1337,68,185,"Female"
1338,61,202,"Male"
1339,76,184,"Female"
1340,51,225,"Male"
1341,97,174,"Female"
1342,69,147,"Female"
1343,79,170,"Female"
1344,97,210,"Male"
1345,81,199,"Female"
1346,63,230,"Male"
1347,43,139,"Male"
1348,85,223,"Female"
1349,63,175,"Male"
1350,70,95,"Male"
1351,36,168,"Female"
1352,76,144,"Female"
1353,55,140,"Female"
1354,81,242,"Male"
1355,92,170,"Female"
1356,31,179,"Male"
1357,87,147,"Female"
1358,42,132,"Female"
1359,49,199,"Male"
1360,55,198,"Female"
1361,77,178,"Male"
1362,81,134,"Male"
1363,76,125,"Male"
1364,99,180,"Male"
1365,91,161,"Female"
1366,78,181,"Female"
1367,64,150,"Female"
1368,71,165,"Male"
1369,73,181,"Male"
1370,87,201,"Male"
1371,80,136,"Male"
1372,55,164,"Male"
1373,72,184,"Female"
1374,72,71,"Female"
1375,65,185,"Female"
1376,64,202,"Male"
1377,76,119,"Female"
1378,78,199,"Male"
1379,59,190,"Female"
1380,89,158,"Female"
1381,64,177,"Female"
1382,63,182,"Female"
1383,55,164,"Female"
1384,80,149,"Male"
1385,90,206,"Female"
1386,30,173,"Male"
1387,56,168,"Female"
1388,61,178,"Female"
1389,61,162,"Female"
1390,50,196,"Male"
1391,83,189,"Male"
1392,83,217,"Male"
1393,82,124,"Male"
1394,59,201,"Male"
1395,76,109,"Male"
1396,73,142,"Female"
1397,50,202,"Female"
1398,82,205,"Female"
1399,79,100,"Male"
1400,50,170,"Female"
1401,86,192,"Female"
1402,71,188,"Male"
1403,101,178,"Male"
1404,47,143,"Female"
1405,67,233,"Female"
1406,62,171,"Male"
1407,74,178,"Female"
1408,85,145,"Female"
1409,101,121,"Female"
1410,57,114,"Male"
1411,51,160,"Female"
1412,73,173,"Female"
1413,90,164,"Female"
1414,62,171,"Female"
1415,68,153,"Female"
1416,63,192,"Female"
1417,45,238,"Female"
1418,53,213,"Male"
